Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat57,Intensity Rat58,Intensity Rat59,Intensity Rat60,Intensity Rat61,Intensity Rat62,Intensity Rat63,Intensity Rat64,Intensity Rat65,Intensity Rat66
A0A8I5ZZT6,A0A8I5ZZT6_RAT,Sosondowah ankyrin repeat domain family member C,Sowahc,713182,,136460,,301340,545392,,,,291699
A0A8I5ZZX8,A0A8I5ZZX8_RAT,Beta-adaptin appendage C-terminal subdomain domain-containing protein,ENSRNOG00000064118,14677000,16891100,15121500,16600200,14911900,8773220,7754550,6309460,7724700,9124640
A0A8I5ZZZ6,A0A8I5ZZZ6_RAT,Serine/threonine-protein kinase RIO3,Riok3,17406400,20313600,17219000,22419900,24252700,15554900,19573900,17150500,27890100,27412500
A0A8I6A023,A0A8I6A023_RAT,CKLF-like MARVEL transmembrane domain containing 7,Cmtm7,11313100,8770930,18110100,9476730,18598800,7419230,12152000,10017800,10608000,16361500
A0A8I6A052,A0A8I6A052_RAT,Family with sequence similarity 120 member C,Fam120c,30934800,31012600,19442100,23365400,25824700,28142700,34667000,30949800,21876800,32241900
A0A8I6A072,A0A8I6A072_RAT,Rab-like protein 3,Rabl3,10052900,10815700,10377000,9841230,9950570,8413550,10272700,10874900,12954400,14150600
A0A8I6A089,A0A8I6A089_RAT,"PAXX, non-homologous end joining factor",Paxx,4533900,5383830,3475410,2518590,3038690,4615820,5726890,4934940,1881980,3560650
A0A8I6A0B7,A0A8I6A0B7_RAT,Nipsnap homolog 3B,Nipsnap3a,15868300,16342700,24491600,16528600,30039800,18288800,21523600,21799000,26386000,33298400
A0A8I6A0K6,A0A8I6A0K6_RAT,Aminomethyltransferase,Amt,52534100,60845900,32527100,34538800,35452700,45350300,59417100,61985900,43784200,49801900
A0A8I6A0K7,A0A8I6A0K7_RAT,Metastasis-associated protein MTA3,Mta3,,45565900,55566400,,,46125400,42321500,19377400,,
A0A8I6A0N6,A0A8I6A0N6_RAT,DOP1 leucine zipper like protein A,Dop1a,7175360,10938600,8470830,7332300,5546280,6172910,10285100,7694180,6974690,6814690
A0A8I6A0T3,A0A8I6A0T3_RAT,Serine/threonine-protein kinase SIK3,Sik3,89089400,101931000,63099300,62665500,64356300,90296200,107473000,108021000,76551800,80876700
A0A8I6A0T5,A0A8I6A0T5_RAT,Dynactin subunit 5,Dctn5,133041000,143982000,169634000,141856000,147329000,140092000,139404000,154970000,111559000,141173000
