Q5U300,Ubiquitin-like modifier-activating enzyme 1 [OS=Rattus norvegicus],594992280.2,562425698.3,554721849.7,587434311.4,501247501.8,503146866.6,532764656.7
P51593,E3 ubiquitin-protein ligase HUWE1 [OS=Rattus norvegicus],96441900.75,101724081.2,102941565.4,109097618.3,90445876.9,71164515.89,89771740.65
P69897,Tubulin beta-5 chain [OS=Rattus norvegicus],1200337549,1060464694,985212548,1104264524,931317716,735948538,1179186777
P10719,"ATP synthase subunit beta, mitochondrial [OS=Rattus norvegicus]",3693111220,3099178744,3353430946,3988714542,3255361109,2939125319,3418064319
Q63425,Periaxin [OS=Rattus norvegicus],378943428.6,160274158.3,212455388.3,251206922.2,211555353,216433579.9,61021071.56
Q4QRB4,Tubulin beta-3 chain [OS=Rattus norvegicus],2871365364,2594885443,2448469363,3088611321,2541362624,1954150381,3031001626
P53534,"Glycogen phosphorylase, brain form [OS=Rattus norvegicus]",2414992071,2338459438,2094764706,2320530594,1788614230,1735606348,2353844123
O88600,Heat shock 70 kDa protein 4 [OS=Rattus norvegicus],488199202.4,482687063,471542948.8,468503071.7,419461597.6,389108518.7,432841050.4
Q5XI78,2-oxoglutarate dehydrogenase complex component E1 [OS=Rattus norvegicus],639231110.1,605402531.9,561554447.9,718211435.5,515348029.7,525990882.7,555455621.5
P47942,Dihydropyrimidinase-related protein 2 [OS=Rattus norvegicus],4580622385,4536280646,4103568510,5326305868,4100941823,3250865690,4911553516
P11980,Pyruvate kinase PKM [OS=Rattus norvegicus],3671980142,3538792027,3523935888,3356452022,3306284230,2817837157,3486350315
F1M4A4,Kinesin-like protein KIF1A [OS=Rattus norvegicus],116042967.6,132114998.4,143981012.9,151156633.2,147254527.1,110231099,132275789.2
P12847,Myosin-3 [OS=Rattus norvegicus],140067637.5,292435815.2,85329015.9,5302237.156,205514463.7,87339534.48,10467706.8
O70511,Ankyrin-3 [OS=Rattus norvegicus],176571188.8,186955858.4,158595536.1,181772632.7,144141148.3,154204029.8,173008178
P05197,Elongation factor 2 [OS=Rattus norvegicus],903005462.6,759173016.9,815010203.5,705380126.7,695383929.2,699156911.2,586582093.2
Q6P9T8,Tubulin beta-4B chain [OS=Rattus norvegicus],560041280.9,529787417.2,426978230,579547245.3,534136521,428919373.4,593157811
P97536,Cullin-associated NEDD8-dissociated protein 1 [OS=Rattus norvegicus],740604839.3,674809190.5,711571017.8,845846388.4,668970167.6,641096735.6,708585854.6
Q9QUL6,Vesicle-fusing ATPase [OS=Rattus norvegicus],1623347812,1718999919,1479989046,2058535098,1658515952,1576309743,1958641013
Q5XIF6,Tubulin alpha-4A chain [OS=Rattus norvegicus],1135467397,1047368959,930999580.7,1135412236,910522600.7,629536783.3,1182658086
Q9QXQ0,Alpha-actinin-4 [OS=Rattus norvegicus],439130148.5,449528489.2,452868517.9,406601136.1,367420232,383083646.5,322345301.2
