Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat47,Intensity Rat48,Intensity Rat49,Intensity Rat50,Intensity Rat51,Intensity Rat52,Intensity Rat53,Intensity Rat54,Intensity Rat55,Intensity Rat56
A0A096MJ11,A0A096MJ11_RAT,Gasdermin D,Gsdmd,6526390,7797930,7675150,8027540,7541830,6592470,8641820,6048200,7189100,6814850
A0A096MJ37,A0A096MJ37_RAT,Upregulator of cell proliferation,Urgcp,,3763850,3780240,4534220,,,3672780,,2219650,2656200
A0A096MJ94,A0A096MJ94_RAT,BMS1 ribosome biogenesis factor,Bms1,1532210,,,,,2365280,,882964,,
A0A096MJ99,A0A096MJ99_RAT,Vesicle-associated membrane protein 4,Vamp4,4281730,4690980,3501250,3851200,2694820,4142040,3309380,3760480,3368290,3822270
A0A096MJA9,A0A096MJA9_RAT,Aspartate-beta-hydroxylase,Asph,7512130,8803700,7782900,7884460,6727300,4532450,8176640,5573050,6700980,7158990
A0A096MJD8,A0A096MJD8_RAT,SH2 domain containing 5,Sh2d5,2137110,2762150,2493480,2873950,2948500,2069600,2566340,2652960,2644130,2645300
A0A096MJE3,A0A096MJE3_RAT,G1 to S phase transition 2,Gspt2,1005450,974238,911639,778982,761051,666036,856463,647385,779338,732890
A0A096MJN4,SEPT4_RAT,Septin-4,Septin4,133447000,158420000,176486000,176373000,177722000,97600800,176843000,123182000,157472000,166187000
A0A096MJT6,A0A096MJT6_RAT,Bridge-like lipid transfer protein family member 1,Bltp1,41095500,,,27929700,35878300,29271700,34590400,27229300,,17899900
A0A096MJV7,A0A096MJV7_RAT,DNA helicase,Chd9,5039660,4927980,6011200,6499100,6432040,4898690,4490810,5997420,4660990,4616550
A0A096MJY1,A0A096MJY1_RAT,Glypican 6,Gpc6,,2995900,2655870,3253510,2649480,2150110,3138450,,,2224380
A0A096MJY7,A0A096MJY7_RAT,LSM14A mRNA processing body assembly factor,Lsm14a,1880390,2165730,1580430,1588470,1458170,1955510,1236390,1036180,841130,1742620
A0A096MJZ0,DNAL1_RAT,Dynein axonemal light chain 1,Dnal1,31527200,26876900,30997300,29625500,28267400,26135700,34151900,23971900,31570700,29876300
A0A096MK16,A0A096MK16_RAT,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",Arap2,480653,1785840,,,,,1263000,,,
A0A096MK60,A0A096MK60_RAT,Schlafen family member 5,Slfn5,7308400,7614630,8666360,10714200,10581900,7153310,10271300,5607170,7478850,7313450
A0A096MKB0,A0A096MKB0_RAT,"RAB24, member RAS oncogene family",Rab24,26832900,28795100,25465200,26054000,20881300,17883900,25934200,19515100,21690500,22476900
A0A096MKD1,A0A096MKD1_RAT,EEF1A lysine methyltransferase 1,Eef1akmt1,14726400,14093600,15209700,18364800,16376100,15219100,19230300,13063900,17746400,16496700
A0A096MKE2,A0A096MKE2_RAT,Sorting nexin 12,Snx12,38793100,35504900,37883000,40886500,38690300,29481600,38127800,33473700,36999500,34689500
A0A096MKE5,A0A096MKE5_RAT,DBIRD complex subunit ZNF326,Zfp326,4874830,5574580,5119120,5150150,4731020,4380670,4767910,3970000,4547120,4593220
A0A096MKF9,A0A096MKF9_RAT,Complement C2,Cfb,1324870,,1709670,2478860,1210190,4360410,1532160,4632040,1172140,1094260
A0A096MKH4,A0A096MKH4_RAT,"Ubiquitin-conjugating enzyme E2, J1",Ube2j1,4293260,4804580,4227420,3682470,3100120,3073660,4660330,3029230,3718640,4606490
A0A096UWG9,A0A096UWG9_RAT,Diacylglycerol kinase,Dgke,12204900,12677700,12741000,13151500,13219600,13785500,13385700,11690300,13170700,12381800
A0A0G2JST1,A0A0G2JST1_RAT,Adhesion G protein-coupled receptor G6,Adgrg6,3647380,3102590,,,3860050,2244520,,2660890,2460260,2811790
A0A0G2JT23,A0A0G2JT23_RAT,Nuclear receptor binding protein 2,Nrbp2,18004900,18243400,18926900,19694400,18076400,13551900,20055400,16260600,19387200,16499400
A0A0G2JT63,A0A0G2JT63_RAT,Cytoplasmic FMR1-interacting protein,Cyfip2,86800800,83318600,91539700,95922400,101164000,70415400,98030300,89345600,94463800,85996300
A0A0G2JT78,A0A0G2JT78_RAT,"RAB6B, member RAS oncogene family",Rab6b,167618000,156810000,162488000,177594000,172996000,129682000,159961000,145150000,151953000,158752000
A0A0G2JTB2,A0A0G2JTB2_RAT,"1,4-alpha-glucan branching enzyme",Gbe1,118062000,117192000,127208000,132462000,120045000,88679900,136384000,112609000,125585000,113296000
A0A0G2JTI7,A0A0G2JTI7_RAT,U4/U6 small nuclear ribonucleoprotein Prp3,Prpf3,11756000,8773720,7762640,7826130,7468840,16193800,7558510,14235700,9122210,6997550
A0A0G2JTJ9,A0A0G2JTJ9_RAT,Transcription factor CP2,Tfcp2,,5338300,4972890,4668750,6391000,,5560550,,4498350,4593720
A0A0G2JTK1,A0A0G2JTK1_RAT,Tau tubulin kinase 1,Ttbk1,8619900,14700000,15522700,14396200,19032500,24628900,15573200,14891700,16335600,11667600
A0A0G2JTM9,A0A0G2JTM9_RAT,DnaJ homolog subfamily B member 14,Dnajb14,76310600,79707400,75908300,77552100,74160900,54521400,71778200,52785600,64376900,70260200
A0A0G2JTR4,ABR_RAT,Active breakpoint cluster region-related protein,Abr,45924200,49610100,49185000,50627200,50772600,34896000,50625700,41493600,47581700,44812400
A0A0G2JTT4,A0A0G2JTT4_RAT,"RAB30, member RAS oncogene family",Rab30,13353700,12312300,14658100,17638300,18156000,12324300,14138100,13811800,14572600,17354400
A0A0G2JTT6,A0A0G2JTT6_RAT,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,Herc1,359862000,395167000,407438000,423106000,395011000,298704000,420185000,357211000,369085000,377997000
A0A0G2JTW1,A0A0G2JTW1_RAT,Ras-related protein Rap-2,Rap2a,47641200,44459200,49744700,49670800,51353900,38562000,53442300,41406200,44240300,45334800
A0A0G2JTX2,A0A0G2JTX2_RAT,PRA1 family protein,Praf2,88682800,82467800,86264800,82467300,78965400,60345200,83912000,73727800,78139900,79373400
A0A0G2JU15,A0A0G2JU15_RAT,Small ribosomal subunit protein mS39,Ptcd3,7406930,8987510,11278200,9928270,11156000,7581670,9505720,9817850,7523010,7362810
A0A0G2JU45,A0A0G2JU45_RAT,tRNA (guanine(37)-N1)-methyltransferase,Trmt5,627221,1077870,1100170,1144090,872881,429690,1146520,764813,665902,856724
A0A0G2JU49,A0A0G2JU49_RAT,Metaxin-1,Mtx1,18824200,22528200,23782000,24427900,25163400,13964000,23360500,15149000,23120600,15980200
A0A0G2JU98,A0A0G2JU98_RAT,SH3 and cysteine rich domain 2,Stac2,913188,1103540,717089,749774,728453,401438,832829,520102,701355,897324
A0A0G2JUA5,A0A0G2JUA5_RAT,AHNAK nucleoprotein,Ahnak,223217000,246576000,195202000,226468000,228317000,174048000,171436000,120552000,157730000,137532000
A0A0G2JUC8,A0A0G2JUC8_RAT,cullin-RING-type E3 NEDD8 transferase,Rbx1,38014000,33846300,27067800,37491600,24857300,30990600,31294700,35070300,30331600,31571700
A0A0G2JUC9,A0A0G2JUC9_RAT,HECT-type E3 ubiquitin transferase,Herc2,19033200,17620000,18802000,18781700,19823800,15407800,17853500,18345000,17833400,14199800
A0A0G2JUD6,A0A0G2JUD6_RAT,Kinesin-like protein,Kif3a,14616200,13653600,14007300,12567000,11073600,16906200,12562800,11045800,13134300,13082900
A0A0G2JUF2,A0A0G2JUF2_RAT,Sorting nexin-30,Snx30,13071300,12631200,13344200,12344700,12330300,8059030,11539200,9812820,11744800,11623300
A0A0G2JUF9,A0A0G2JUF9_RAT,NCK associated protein 1 like,Nckap1l,231995,634799,425587,441350,617905,,944800,,706348,667884
A0A0G2JUG7,IQEC1_RAT,IQ motif and SEC7 domain-containing protein 1,Iqsec1,34222200,33067800,35994200,40389500,43334500,35041100,37871500,34513400,37209000,35461400
A0A0G2JUH8,A0A0G2JUH8_RAT,Sorting nexin 13,Snx13,13073200,13474200,15232700,16422700,18046500,8690840,12807300,10095300,12100200,11635700
A0A0G2JUJ9,A0A0G2JUJ9_RAT,"SEC63 homolog, protein translocation regulator",Sec63,13394900,13453500,14111100,14653700,13580600,13280100,14229200,11998200,13852500,12671000
A0A0G2JUS5,A0A0G2JUS5_RAT,Dolichyldiphosphatase,Dolpp1,4365000,3486730,3127910,3085650,,,,,,7042200
A0A0G2JUT7,A0A0G2JUT7_RAT,Beta 3-glucosyltransferase,B3glct,2147000,2205100,2409200,2750230,2834850,2012790,2658460,1756490,2457710,2125950
A0A0G2JUU7,A0A0G2JUU7_RAT,Tubulin gamma complex component 3,Tubgcp3,4726200,5305880,6194110,6062450,5993740,4563560,5498660,4946400,5225230,4837200
A0A0G2JUV4,A0A0G2JUV4_RAT,Mitochondrial ribosomal protein L1,Mrpl1,7034150,6827340,6309790,7005840,5817760,5462180,6350340,6649890,5652760,6102490
A0A0G2JV04,GGA3_RAT,ADP-ribosylation factor-binding protein GGA3,Gga3,6568010,6554220,6981400,6642020,5878500,5001300,6586910,5639130,5698650,6075420
A0A0G2JV12,A0A0G2JV12_RAT,Collagen type XV alpha 1 chain,Col15a1,9018420,9479580,9050670,9502880,12695400,12874300,9456880,8518360,6173620,3312700
A0A0G2JV19,A0A0G2JV19_RAT,"Transforming growth factor, beta receptor associated protein 1",Tgfbrap1,8349750,9804980,9959500,10192300,10052200,8262140,9220300,7598900,10435200,10851300
A0A0G2JV24,A0A0G2JV24_RAT,Thrombospondin 1,Thbs1,1856980,1321030,,1712580,,10169100,2095390,2990050,1519440,
A0A0G2JV49,A0A0G2JV49_RAT,"Protein phosphatase 6, regulatory subunit 2",Ppp6r2,23692600,21790700,25458200,25022100,26402000,18863600,26260400,20176900,23927400,21631300
A0A0G2JV76,A0A0G2JV76_RAT,DNA ligase,Lig3,2386810,2598360,2655870,2941930,3303560,2661070,2809530,2652250,2272530,2151270
A0A0G2JVA2,A0A0G2JVA2_RAT,Heterogeneous nuclear ribonucleoprotein H3,Hnrnph3,35765500,38070500,35575900,38030600,37355600,32284200,35905800,28673400,32968300,35069900
A0A0G2JVD2,A0A0G2JVD2_RAT,Solute carrier family 25 member 23,Slc25a23,21178000,20690200,22405300,21095600,22860100,15330000,20929700,17556600,20527400,19244000
A0A0G2JVF5,A0A0G2JVF5_RAT,High mobility group box 3 like 1,Hmgb3,7333180,5595190,4555320,4333330,4433170,27907200,2852120,6753200,4217450,4117530
A0A0G2JVI4,A0A0G2JVI4_RAT,Fucose kinase,Fcsk,22962400,24798700,25463900,28007800,23076000,18693300,30218000,21266600,24498700,23555500
A0A0G2JVL5,A0A0G2JVL5_RAT,RAB7A interacting MON1-CCZ1 complex subunit 1,Rimoc1,6355420,5534720,5046480,5025580,4788650,2331200,6310320,4960330,4639010,6537370
A0A0G2JVL6,A0A0G2JVL6_RAT,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,Ndufa8,209167000,201433000,214135000,192398000,197573000,137044000,209485000,170518000,166429000,182018000
A0A0G2JVM2,A0A0G2JVM2_RAT,MIA SH3 domain ER export factor 3,Mia3,7878030,8616450,8892310,8692570,7839640,7189950,9254290,6999430,7825020,7672840
A0A0G2JVP5,A0A0G2JVP5_RAT,Poly(A) binding protein interacting protein 1,Paip1,105605000,116274000,110585000,109177000,110050000,87667000,122462000,92477700,111110000,115923000
A0A0G2JVP9,A0A0G2JVP9_RAT,Proteasome activator complex subunit 1,Psme1-ps1,13984400,14042900,12569700,13640100,9678750,11615700,13316800,10669700,12399800,11659200
A0A0G2JVT8,A0A0G2JVT8_RAT,Sterile alpha motif domain containing 9 like,Samd9l,13913200,15611500,18089400,18825100,17802900,13254100,17155800,12332100,15812500,16142400
A0A0G2JVU1,A0A0G2JVU1_RAT,Integrin beta,Itgb8,173701000,168396000,183089000,186383000,157731000,125624000,182334000,154972000,168572000,170484000
A0A0G2JVY2,A0A0G2JVY2_RAT,CD163 molecule,Cd163,,5956290,4794900,6095290,8565780,,5520300,,5156410,6088890
A0A0G2JVY4,A0A0G2JVY4_RAT,Transmembrane protein 63a,Tmem63a,1063990,911067,659667,627225,1092070,,640112,,792002,826137
A0A0G2JW34,A0A0G2JW34_RAT,CDGSH iron sulfur domain 3,Cisd3,27293200,26366300,24772300,26220200,26229900,25786300,38227200,24491900,26984700,24272300
A0A0G2JW38,A0A0G2JW38_RAT,Ribulose-phosphate 3-epimerase,Rpe,7389930,7361170,7727760,7223080,5928570,4238320,7126420,3814370,5570830,6707010
A0A0G2JW41,A0A0G2JW41_RAT,Ig-like domain-containing protein,ENSRNOG00000065855,,,,,,369844,,464258,,
A0A0G2JW73,A0A0G2JW73_RAT,"Nicolin 1, tubulin polyglutamylase complex subunit",Nicn1,4223830,3997350,3850150,3461980,3991490,2467890,4934510,3675790,4106770,3797140
A0A0G2JW94,A0A0G2JW94_RAT,Clathrin interactor 1,Clint1,29596600,30240800,26164200,30334600,26937000,21641400,25093900,21293300,27627400,29161800
A0A0G2JWA3,A0A0G2JWA3_RAT,Exportin 7,Xpo7,78365100,80564400,78439900,84306200,80251000,63280400,85454100,73056800,75678700,76161600
A0A0G2JWG1,A0A0G2JWG1_RAT,Alpha-mannosidase,Man2a2,719802,1075930,1299590,1166370,1065640,686048,1053620,774706,820193,767373
A0A0G2JWJ3,A0A0G2JWJ3_RAT,Midline 2,Mid2,849668,800216,588792,523052,343506,,326869,296054,324090,
A0A0G2JWK6,A0A0G2JWK6_RAT,APC membrane recruitment protein 2,Amer2,247929000,210680000,245511000,268204000,313268000,227007000,257242000,228149000,170717000,288569000
A0A0G2JWN4,A0A0G2JWN4_RAT,Actin maturation protease,Actmap,40965900,33970300,,24395900,,27732600,,38006700,,
A0A0G2JWT6,A0A0G2JWT6_RAT,Peroxisomal membrane protein PEX16,Pex16,9169660,9216800,8368050,12111200,8292110,13072100,10664500,9919690,13644900,9052930
A0A0G2JWW8,A0A0G2JWW8_RAT,Mediator of RNA polymerase II transcription subunit 30,Med30,32526500,33777600,32444900,36473200,40532600,26408800,46541700,20741300,32986800,34318200
A0A0G2JWX2,A0A0G2JWX2_RAT,Laminin subunit alpha 2,Lama2,61313200,53380800,51915100,48266900,56430300,138026000,47087100,90861100,31566900,20088500
A0A0G2JX20,A0A0G2JX20_RAT,Katanin p80 WD40 repeat-containing subunit B1,Katnb1,7763290,7252770,7520850,7464640,7083180,5262320,7317510,6729050,6553930,6430400
A0A0G2JX81,A0A0G2JX81_RAT,Catenin alpha 3,Ctnna3,33801500,33524200,32897600,34735800,30020200,28903400,36172300,31535000,34667100,33055400
A0A0G2JXB5;A0A8I5ZNW7,A0A0G2JXB5_RAT;A0A8I5ZNW7_RAT,Anoctamin,Ano2,21953000,,,,,,,20844100,,
A0A0G2JXD9,A0A0G2JXD9_RAT,DOP1 leucine zipper like protein B,Dop1b,,1883480,2582290,3017530,3291730,1816370,3136930,2466190,2799010,2152740
A0A0G2JXG7,A0A0G2JXG7_RAT,Capping protein regulator and myosin 1 linker 1,Carmil1,19101300,20369700,19955600,20655000,26649000,14767400,19865700,15270400,20149500,19706600
A0A0G2JXI6,A0A0G2JXI6_RAT,CYFIP related Rac1 interactor B,Cyrib,110391000,109246000,106188000,113460000,107996000,82550000,118994000,93511900,101249000,102975000
A0A0G2JXJ6,A0A0G2JXJ6_RAT,Tetratricopeptide repeat domain 7B,Ttc7b,13188900,12976000,12710200,13011600,11970000,9631300,13128200,11182300,11505000,11350200
A0A0G2JXM1,A0A0G2JXM1_RAT,Catenin delta 1,Ctnnd1,22967100,24397700,23736800,24802500,25002200,23142300,24822000,20028400,22068100,19601800
A0A0G2JXM5,A0A0G2JXM5_RAT,DNA polymerase delta interacting protein 3,Poldip3,,3710310,2787160,3069580,3427790,3408470,,3133100,2230610,2307550
A0A0G2JXN2,TRI46_RAT,Tripartite motif-containing protein 46,Trim46,9041410,10330000,10308700,10063000,9517260,5757380,9457760,8194750,8686350,8850950
A0A0G2JXN8,A0A0G2JXN8_RAT,Oxysterol-binding protein,Osbpl8,32049700,33385400,23644400,35525000,26329400,21547700,26639600,35561300,26802500,26552500
A0A0G2JXT6,MTMR6_RAT,"Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR6",Mtmr6,8245930,10286500,9003900,9736260,9792500,6036320,8767390,8344990,9190450,8371550
A0A0G2JXT8,A0A0G2JXT8_RAT,Filamin B,Flnb,496738000,585025000,548782000,652232000,553128000,468863000,586637000,384775000,431792000,348296000
A0A0G2JXT9,A0A0G2JXT9_RAT,Rho guanine nucleotide exchange factor 17,Arhgef17,880618,1166250,597984,663454,743416,682812,851930,542824,564142,714149
A0A0G2JY11,A0A0G2JY11_RAT,Tetraspanin,Tspan9,6029030,8871130,6494660,6918770,7190070,5281040,6929340,4153680,6690820,5585690
A0A0G2JY22,A0A0G2JY22_RAT,Disco-interacting protein 2 homolog B,Dip2b,35804500,36441900,36462800,37471800,37598100,28279500,38939500,32037700,35210200,35552300
A0A0G2JY80,A0A0G2JY80_RAT,TBL1X/Y related 1,Tbl1x,2800780,3884550,4394340,4383640,3580240,2054540,4738040,3905960,3998190,3508130
A0A0G2JY81,A0A0G2JY81_RAT,Fibulin-1,Fbln1,14756800,13850900,15124700,17028100,17011000,23870100,17016500,16628400,16538500,14787600
A0A0G2JYE0,A0A0G2JYE0_RAT,Ataxin 2-like,Atxn2l,35395700,39811600,34080500,34459700,35716700,8960140,39473100,18030400,30953300,40808400
A0A0G2JYF7,A0A0G2JYF7_RAT,Catenin alpha-2,Ctnna2,98189500,111355000,96373800,92202100,83077400,78748800,90436800,76755100,86821700,81586000
A0A0G2JYI7,A0A0G2JYI7_RAT,Ubiquitin-associated protein 2,Ubap2,,780187,,,,,,,78510.7,
A0A0G2JYJ5,A0A0G2JYJ5_RAT,Adaptor related protein complex 5 subunit zeta 1,Ap5z1,6509990,9897850,5903470,9383240,8533140,6261950,11326800,7651680,6181260,9213240
A0A0G2JYP0,A0A0G2JYP0_RAT,Chromobox 3 like 2,,7346870,7558660,5143670,5804420,3868270,3862510,5269540,4394570,4590970,4667320
A0A0G2JYQ5,A0A0G2JYQ5_RAT,E3 ubiquitin-protein ligase,Dtx3,19339600,19977600,15446100,16376600,16344900,10767100,18857900,13682000,17274400,15626200
A0A0G2JYR1,A0A0G2JYR1_RAT,Exocyst complex component,Exoc6b,74776400,78933100,82573500,81311200,70823200,54241500,78104300,60088100,73748100,73413400
A0A0G2JYR4,A0A0G2JYR4_RAT,LPS responsive beige-like anchor protein,Lrba,264510000,19591800,263648000,220988000,19139300,8938550,236577000,13788400,65442500,65271400
A0A0G2JYU6,A0A0G2JYU6_RAT,Formin-like 1,Fmnl1,28951400,30319300,27576100,25106600,24155600,20460900,30252200,18633700,24895600,24236400
A0A0G2JYV2,A0A0G2JYV2_RAT,Cleavage and polyadenylation specific factor 1,Cpsf1,2186660,2567600,2745000,3282870,3436400,2023550,3286120,2425530,2232420,2478320
A0A0G2JYX9,A0A0G2JYX9_RAT,Interleukin-1 receptor-associated kinase 1,Irak1,573346,479118,330246,504966,605609,435714,513125,,535700,540478
A0A0G2JYY6,A0A0G2JYY6_RAT,Coenzyme Q10A,Coq10a,10152400,10873800,9867160,13098200,40358700,35923600,11446700,37169200,8698270,10479700
A0A0G2JZ40,A0A0G2JZ40_RAT,Reversion-inducing-cysteine-rich protein with kazal motifs,Reck,1210630,1253630,953830,1351030,1042090,,1079630,1089910,1023680,
A0A0G2JZ48,A0A0G2JZ48_RAT,TATA element modulatory factor 1,Tmf1,,,,4364840,,,,6924680,,4442400
A0A0G2JZ53,A0A0G2JZ53_RAT,Baculoviral IAP repeat-containing 6,Birc6,20283400,21083500,21457800,24686600,22405700,21042400,24785800,20435200,21073700,19172300
A0A0G2JZ60,A0A0G2JZ60_RAT,Fibronectin type III and SPRY domain containing 1-like,Fsd1l,35632700,33602900,34105900,33924500,29758200,24034900,33016100,26774400,31497300,31186000
A0A0G2JZ84,A0A0G2JZ84_RAT,Ectopic P-granules 5 autophagy tethering factor,Epg5,3338630,3401580,2510200,3609870,3353180,3689070,3666810,944440,2598590,2590890
A0A0G2JZA1,A0A0G2JZA1_RAT,Roundabout guidance receptor 2,Robo2,13924600,15454500,11825100,19712100,12616700,8698860,15152400,13222200,16905100,11990300
A0A0G2JZC4,A0A0G2JZC4_RAT,Semaphorin 6D,Sema6d,1169820,,1342070,,,1163700,659676,466877,,
A0A0G2JZE7,A0A0G2JZE7_RAT,Rho guanine nucleotide exchange factor 40,Arhgef40,13583100,14223400,14004200,15042500,14530300,11831000,14687300,12869800,14301200,11947900
A0A0G2JZF6,A0A0G2JZF6_RAT,NADH:ubiquinone oxidoreductase complex assembly factor 2,Ndufaf2,151023000,144541000,118347000,122635000,111998000,96716400,119214000,91085500,117669000,122086000
A0A0G2JZH0,A0A0G2JZH0_RAT,Calcium binding protein 39,Cab39,113969000,108177000,112778000,114816000,110921000,72868400,92834000,79622900,83456000,88001100
A0A0G2JZH8,A0A0G2JZH8_RAT,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex,Pdhx,86566800,96149600,87707300,103921000,85842200,71142400,99095000,81453200,83636800,103894000
A0A0G2JZH9,A0A0G2JZH9_RAT,DExH-box helicase 57,Dhx57,36494600,38616200,40515400,41612500,36421200,35936800,45007900,36354500,37952900,31586000
A0A0G2JZR0,A0A0G2JZR0_RAT,Spire-type actin nucleation factor 1,Spire1,6662690,6475940,6968070,7503330,7027530,6633540,6487360,5799880,5951660,7029560
A0A0G2JZS1,A0A0G2JZS1_RAT,Importin subunit alpha,Kpna6,38775200,36249400,37769400,40592300,38613200,43830000,39718900,36167100,37130200,38045600
A0A0G2JZU8,A0A0G2JZU8_RAT,ubiquitinyl hydrolase 1,Usp9y,21133400,21027400,20965500,25795000,26109600,24114000,25664100,22888300,25818400,25374600
A0A0G2JZZ4,A0A0G2JZZ4_RAT,Selenoprotein M,Selenom,18439200,19459700,20392300,21945900,22919100,4752390,21173300,12906700,19552600,21063800
A0A0G2K012,A0A0G2K012_RAT,UBX domain protein 6,Ubxn6,42214600,41634100,39957000,42231900,41316100,27598100,44533100,29635200,38288000,39359700
A0A0G2K023,A0A0G2K023_RAT,Laminin subunit gamma 3,Lamc3,3431670,1994350,,963813,973441,10612700,3661040,3882640,7945520,1604440
A0A0G2K047,ACSS3_RAT,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",Acss3,6514860,7011970,7466490,9052790,7070800,4614040,8648080,5008920,6998060,5218640
A0A0G2K059,A0A0G2K059_RAT,Calcium uniporter protein,Mcu,35427000,34001400,33521500,37149800,33392400,27652700,41068400,31649100,36845800,32896100
A0A0G2K069,A0A0G2K069_RAT,Collagen type XI alpha 2 chain,Col11a2,,,,,,1070910,489290,921648,,
A0A0G2K089,A0A0G2K089_RAT,DENN domain containing 4C,Dennd4c,2625270,3077970,2695870,2533490,2205160,1705230,2162370,1919380,2119350,1751630
A0A0G2K0A0,A0A0G2K0A0_RAT,Cytohesin 4,Cyth4,,1758700,1960550,1936640,1799350,1463670,1447450,,,1099390
A0A0G2K0C0,A0A0G2K0C0_RAT,Fucose-1-phosphate guanylyltransferase,Fpgt,6541940,6082290,7556530,7563370,8437760,5188080,8606430,6694540,7823250,6720410
A0A0G2K0D3,LMOD1_RAT,Leiomodin-1,Lmod1,4076280,4661650,3988140,5314550,4852840,3957150,5639400,4044130,5156710,4699440
A0A0G2K0E7,A0A0G2K0E7_RAT,HECT-type E3 ubiquitin transferase,Ube3b,3495540,3748100,4188400,3808990,4115750,3014250,3929540,3283710,3471080,3413600
A0A0G2K0I0,A0A0G2K0I0_RAT,Anoctamin,Ano4,2440470,2623340,2431900,2738140,2663970,1890490,2407080,2512950,2341850,2270830
A0A0G2K0I6,A0A0G2K0I6_RAT,Cadherin-5,Cdh5,13689300,14006700,11269800,13587900,11126400,14575400,10683500,7593210,9887750,9721500
A0A0G2K0J7,A0A0G2K0J7_RAT,protein-serine/threonine phosphatase,Ctdp1,1056790,1219920,1779480,1847220,1501480,1241430,1368140,1435780,1662030,
A0A0G2K0K3,A0A0G2K0K3_RAT,GATOR complex protein NPRL3,Nprl3,3929080,4639720,5126080,5027100,4329760,3640560,5099940,3679040,3665630,4220740
A0A0G2K0L0,A0A0G2K0L0_RAT,3'-phosphoadenosine 5'-phosphosulfate synthase 1,Papss1,17388100,12786400,15465600,12556100,16075500,12628900,13304500,10619000,13840400,11987300
A0A0G2K0M0,A0A0G2K0M0_RAT,PNKD metallo-beta-lactamase domain containing,Pnkd,7436300,6746280,8395400,10361800,9589580,6994080,7815430,8200410,8154060,8149790
A0A0G2K0P7,A0A0G2K0P7_RAT,Protein AAR2 homolog,Aar2,1339450,1003270,983515,1723440,1827850,846380,1932080,1196850,1541700,1509720
A0A0G2K0Q8,A0A0G2K0Q8_RAT,Sushi domain containing 2,Susd2,242893000,223607000,224709000,222783000,211205000,145641000,206173000,158426000,208364000,159069000
A0A0G2K0S7,A0A0G2K0S7_RAT,RAP1 GTPase activating protein 2,Rap1gap2,31646300,34587600,30718500,30719000,28383600,23435900,30806900,22917000,28439400,30063400
A0A0G2K0W3,A0A0G2K0W3_RAT,Protein tweety homolog,Ttyh3,4653660,7184260,,5547070,4658880,,7071790,,,6060270
A0A0G2K162,A0A0G2K162_RAT,Erythrocyte membrane protein band 4.1-like 2,Epb41l2,221010000,226477000,197727000,189342000,187090000,155580000,186209000,147632000,177695000,183764000
A0A0G2K189,A0A0G2K189_RAT,Secernin 3,Scrn3,48226400,38173800,37354300,46848000,44295700,32606400,48218100,37959300,43492600,24237900
A0A0G2K1A1,A0A0G2K1A1_RAT,Zinc finger protein 706,Zfp706,2171360,2961620,2402160,2971640,2581780,,4062510,,2231570,3036650
A0A0G2K1A2,A0A0G2K1A2_RAT,Myeloperoxidase,Mpo,3218460,,,4860060,,8907410,2304120,1117760,,
A0A0G2K1A4,A0A0G2K1A4_RAT,Ecotropic viral integration site 5-like,Evi5l,13919300,16058300,18721600,18314000,16444500,7939160,20298100,9433410,19725200,16816800
A0A0G2K1A8,A0A0G2K1A8_RAT,Pleckstrin homology domain containing A1,Plekha1,5264700,6005540,5764320,5892340,5653340,3722350,5597100,5043630,4991260,4836310
A0A0G2K1B1,A0A0G2K1B1_RAT,Zinc finger protein 428,Zfp428,3535660,3742760,2560550,3040110,2857130,4676730,2979740,2962550,2908670,2933220
A0A0G2K1D2,A0A0G2K1D2_RAT,Rap1 GTPase-GDP dissociation stimulator 1,Rap1gds1,207708000,186376000,199198000,208101000,200643000,132096000,193801000,168785000,198459000,188516000
A0A0G2K1J8,A0A0G2K1J8_RAT,Spermidine/spermine N1-acetyltransferase family member 2,Sat2,14746700,14052500,14294800,13405100,14100800,8893700,13999200,11969900,10035700,11961900
A0A0G2K1L0,A0A0G2K1L0_RAT,Tenascin C,Tnc,33948200,29094600,29924700,35784900,33016800,28149000,33069900,31175600,32964900,34313600
A0A0G2K1N9,A0A0G2K1N9_RAT,Selenoprotein O,Selenoo,12199700,10601800,9857190,9708570,9090660,6948120,10642400,7689320,9228830,9051220
A0A0G2K1P3,A0A0G2K1P3_RAT,BCL2 interacting protein 2,Bnip2,4509650,4512010,5596500,6484130,5448910,3734260,4823610,4043730,5012980,4176530
A0A0G2K1P8,A0A0G2K1P8_RAT,TRIO and F-actin binding protein,Triobp,304315,387854,335768,447561,305307,,383475,125492,318331,307303
A0A0G2K1Q0,A0A0G2K1Q0_RAT,"Phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 beta",Pik3c2b,2393990,1943100,2767230,2524770,3382200,1939980,2481690,2142220,2791860,2338230
A0A0G2K1Q8,ABCA3_RAT,Phospholipid-transporting ATPase ABCA3,Abca3,1051770,1857210,1539870,1453450,1242070,,1690270,799398,1152490,758574
