Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat47,Intensity Rat48,Intensity Rat49,Intensity Rat50,Intensity Rat51,Intensity Rat52,Intensity Rat53,Intensity Rat54,Intensity Rat55,Intensity Rat56
P52481,CAP2_RAT,Adenylyl cyclase-associated protein 2,Cap2,29836900,30551000,30822200,31356900,28887700,19753200,28151100,24810000,28268000,28241500
P52555,ERP29_RAT,Endoplasmic reticulum resident protein 29,Erp29,143905000,145674000,154967000,162389000,180950000,112127000,126026000,105382000,148887000,131971000
P52590,NU107_RAT,Nuclear pore complex protein Nup107,Nup107,5141810,3952090,3763100,5042150,4125380,1953710,4658890,4762230,4710410,4483090
P52631,STAT3_RAT,Signal transducer and activator of transcription 3,Stat3,24846300,25549800,25731900,26365800,25624700,22814800,26449000,21879400,26379300,24431100
P52632,STA5B_RAT,Signal transducer and activator of transcription 5B,Stat5b,16398600,13767900,16339000,13853300,14799200,16005700,14939000,10244200,11890300,11611100
P52759,RIDA_RAT,2-iminobutanoate/2-iminopropanoate deaminase,Rida,203288000,188936000,186914000,204791000,222985000,184895000,240379000,179415000,243368000,211122000
P52873,PYC_RAT,"Pyruvate carboxylase, mitochondrial",Pc,128393000,136228000,134674000,140604000,119144000,92762100,143318000,115306000,123398000,122009000
P52925,HMGB2_RAT,High mobility group protein B2,Hmgb2,20683300,19192700,16471600,16528700,18574700,28020600,24559400,26715500,15203500,16505000
P52944,PDLI1_RAT,PDZ and LIM domain protein 1,Pdlim1,15423400,14654200,9241060,6234430,10339600,7292460,6908910,5770460,6883540,6316720
P53042,PPP5_RAT,Serine/threonine-protein phosphatase 5,Ppp5c,60055400,62293900,64576700,64504500,56913700,44891800,64630600,53124900,59685900,56272200
P53534,PYGB_RAT,"Glycogen phosphorylase, brain form (Fragment)",Pygb,898327000,926183000,932652000,963018000,900257000,672663000,1004030000,782445000,871112000,869994000
P53563,B2CL1_RAT,Bcl-2-like protein 1,Bcl2l1,11997100,15573300,14472700,13422100,12050500,6570080,14067400,10213700,10269700,11852200
P53565,CUX1_RAT,Homeobox protein cut-like 1,Cux1,29711000,26613900,25545200,24060500,22241700,19191000,23619600,20585500,17342600,22668700
