Accession,Description,138,139,140,141,142,143,144,,,,,
,,SCI,SCI,SCI,SHAM,SHAM,SHAM,SHAM,,,,,
P45592,Cofilin-1 [OS=Rattus norvegicus],58737408.84,11885361.53,93718347.69,86961939.04,60428358.8,70781705.09,155255046.9,,,,,
P68136,"Actin, alpha skeletal muscle [OS=Rattus norvegicus]",136581084.2,51102535.11,215735401.6,161925882.9,101783083.6,115319000.6,149825061.3,,,,,
Q6P9T8,Tubulin beta-4B chain [OS=Rattus norvegicus],277825665.1,294531258,398956682,400173917,281373010.5,440787610,199845415.1,,,,,
P08009,Glutathione S-transferase Mu 7 [OS=Rattus norvegicus],23441860.61,21964750.49,17975838.31,19222397.94,17734771.36,15148744.33,43161176.12,,,,,
P46462,Transitional endoplasmic reticulum ATPase [OS=Rattus norvegicus],265246262.3,120704453.2,254029402,246410533,210631051.3,337961236.6,326326349.7,,,,,
P02688,Myelin basic protein [OS=Rattus norvegicus],4232637439,4171860526,3450320242,3655396130,4001650147,3391525233,1754201234,,,,,
P62963,Profilin-1 [OS=Rattus norvegicus],13391476.47,1542052.002,12082282.82,17196321.93,11901293.07,15217779.78,49516938.21,,,,,
O35303,Dynamin-1-like protein [OS=Rattus norvegicus],62416093.08,5534545.154,80053127.99,73968102.81,51385588.33,95518437.03,111486769,,,,,
P50137,Transketolase [OS=Rattus norvegicus],220495754.8,181288185.4,241645013.5,212121981.2,208000839.1,208349397.7,374981641.7,,,,,
P23565,Alpha-internexin [OS=Rattus norvegicus],637568075.9,507065362.6,742686340.8,538039916.7,895736880.2,979777094.5,626845653.1,,,,,
P50398,Rab GDP dissociation inhibitor alpha [OS=Rattus norvegicus],89632533.76,,126519809.1,141056280.6,94153535.41,114820376.1,208304980,,,,,
P67779,Prohibitin 1 [OS=Rattus norvegicus],58090016.65,45721507.15,60813153.42,56632744.28,44517406.34,42263193.72,19370808.53,,,,,
P60881,Synaptosomal-associated protein 25 [OS=Rattus norvegicus],33043043.75,24298311.33,31664125.09,54215151.06,32180044.93,43035609.54,32666248.85,,,,,
P62738,"Actin, aortic smooth muscle [OS=Rattus norvegicus]",4080511.359,,957400.5517,1461749.859,2262590.465,2920846.75,2404124.046,,,,,
Q9Z2L0,Voltage-dependent anion-selective channel protein 1 [OS=Rattus norvegicus],48468836.18,3490189.486,42553777.8,55826134.09,39067276.92,40927839.22,17774764.28,,,,,
P82995,Heat shock protein HSP 90-alpha [OS=Rattus norvegicus],919869725.1,730069007.3,940096273.9,1007655399,1043293007,1131235180,1503883690,,,,,
Q5XIF6,Tubulin alpha-4A chain [OS=Rattus norvegicus],211069344.9,144972694.7,325283729.7,389975534.8,190561653.3,385208058.7,91794860.98,,,,,
P11598,Protein disulfide-isomerase A3 [OS=Rattus norvegicus],120408369.7,148524932.3,80120941.74,100240585.1,55836031.68,86220818.24,153146446.1,,,,,
Q05962,ADP/ATP translocase 1 [OS=Rattus norvegicus],107935995.5,140403558.2,193409660,215954266.4,182048006.2,142263850.2,155322790.6,,,,,
P68370,Tubulin alpha-1A chain [OS=Rattus norvegicus],1978172127,2242930066,2648984083,2738046154,2075761448,2642250884,1336964059,,,,,
P63102,14-3-3 protein zeta/delta [OS=Rattus norvegicus],147997774.2,148668533.5,151379957.2,115561129,95058925.97,106204188.2,228366835.5,,,,,
P48037,Annexin A6 [OS=Rattus norvegicus],252605761.9,203847063.8,255540713.5,279245392,236604774.2,389934059.5,407529090.7,,,,,
P13221,"Aspartate aminotransferase, cytoplasmic [OS=Rattus norvegicus]",224479801.9,46445961.74,206096563.3,183761552.4,112988852.8,210536612.3,354642647.6,,,,,
P63012,Ras-related protein Rab-3A [OS=Rattus norvegicus],39194037.26,31340846.32,67320365.86,51997686.72,70032658.74,46958423.48,92545762.19,,,,,
P00507,"Aspartate aminotransferase, mitochondrial [OS=Rattus norvegicus]",215115564.7,83784583.35,265336656.6,250501577.5,167891638.7,232933031.4,360423615.4,,,,,
P15999,"ATP synthase subunit alpha, mitochondrial [OS=Rattus norvegicus]",762179207.5,429489860.6,1074382780,1035936302,642529210.8,969833832.2,569650222.6,,,,,
P62836,Ras-related protein Rap-1A [OS=Rattus norvegicus],31010891.6,16027840.29,22430257.02,46287630.25,27070384.74,24456659.04,23425120.62,,,,,
P04636,"Malate dehydrogenase, mitochondrial [OS=Rattus norvegicus]",312284374.8,106774921.3,331872749.2,407232436.8,184008227.3,345413563.2,546613060.8,,,,,
Q9JHU0,Dihydropyrimidinase-related protein 5 [OS=Rattus norvegicus],119647424.7,61639875.72,133185740,142270168.9,115279847.7,128475470,246498712.5,,,,,
Q68FQ0,T-complex protein 1 subunit epsilon [OS=Rattus norvegicus],58782495.73,30988000.96,68757481.75,75540168.67,44984791.76,60630552.67,77114810.88,,,,,
Q9ER34,"Aconitate hydratase, mitochondrial [OS=Rattus norvegicus]",478376242,258608811,641290201.6,450250455.2,376187095.4,619042312.1,756896329.4,,,,,
Q5XI73,Rho GDP-dissociation inhibitor 1 [OS=Rattus norvegicus],28737275.11,1973183.42,28979790.56,38641423.8,33550425.58,34370439.26,75309090.1,,,,,
Q62952,Dihydropyrimidinase-related protein 3 [OS=Rattus norvegicus],67059239.8,5292792.263,66102002.07,87216304.78,44293741.09,81311755.33,113153036,,,,,
P00564,Creatine kinase M-type [OS=Rattus norvegicus],52055654.99,4906898.504,82681918.08,128726774,80416366.39,25833549.36,47885044.18,,,,,
P62909,Small ribosomal subunit protein uS3 [OS=Rattus norvegicus],9511058.777,4172842.523,13654315.71,16710446.34,20578596.2,12434128.72,4304925.306,,,,,
P63170,"Dynein light chain 1, cytoplasmic [OS=Rattus norvegicus]",12279351.55,24702657.05,16146049.06,18643660.75,19929269.75,15150999.67,44027410.31,,,,,
P53534,"Glycogen phosphorylase, brain form [OS=Rattus norvegicus]",356367450.6,166292371.7,503903579.9,528495873.9,412005184,513585447.4,574587407.9,,,,,
Q09073,ADP/ATP translocase 2 [OS=Rattus norvegicus],398260768.8,131254064,611557872.7,658360557.9,746429370.8,424959668.3,376176747.5,,,,,
P25113,Phosphoglycerate mutase 1 [OS=Rattus norvegicus],99989849.31,86348200.09,81079258.89,127856242.9,75668316.63,79201054.3,238799558.7,,,,,
Q66HF1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial [OS=Rattus norvegicus]",139431180.6,49339188.92,187290065.6,203779499.6,143543302.5,203367786.6,97556827.91,,,,,
P11442,Clathrin heavy chain 1 [OS=Rattus norvegicus],407448004.3,194164792.2,658629279.8,731552170.4,788866369.8,556127035.9,176210358,,,,,
